client_siren,salaries_distincts_2020,salaries_distincts_2021
305689895,1,
305708919,2,
305750580,9,
305751034,1,
305756413,2,
305792079,1,
305817983,2,
305820649,2,
305822140,12,
305837023,4,
305840522,45,
305902603,2,
306002007,31,
306042268,2,
306042821,6,
306050188,2,
306062944,19,
306093998,4,
306160219,1,
306168436,1,
306187196,1,
306354416,8,
306380072,2,
306473679,1,
306522665,1,
306796988,5,
306865601,1,
306881285,3,
306896374,2,
306926353,1,
306950312,4,
306954736,1,
306961186,1,
306964271,1,
306986647,1,
307106757,2,
307147363,1,
307150334,1,
307206037,4,
307207472,4,
307337360,4,
307350330,2,
307376012,2,
307390401,2,
307584045,10,
307615757,5,
307918128,5,
308307065,10,
308549377,1,
308575463,3,
308635549,1,
308884998,2,
308908185,12,
308974161,1,
309054708,2,
309071942,1,
309097038,5,
309174647,6,
309191195,1,
309204683,1,
309304616,1,
309307893,1,
309319911,11,
309358679,3,
309382901,6,
309407310,5,
309506376,2,
309528115,6,
309662427,20,
309745891,1,
309767556,4,
309857217,2,
309977882,4,
310015920,2,
310025697,2,
310072020,2,
310108105,1,
310130299,4,
310173240,14,
310382452,1,
310426556,1,
310439161,1,
310455043,2,
310458906,3,
310497482,3,
310603568,1,
310776844,9,
310792023,23,
310810486,5,
310838180,2,
310864269,2,
310865597,1,
310880604,2,
310954938,3,
311079701,1,
311098487,3,
311126882,1,
311127781,1,
311232490,1,
311248033,23,
311261911,3,
311285068,5,
311294904,42,
311315329,20,
311338339,2,
311351209,1,
311371702,46,
311441505,1,
311567119,1,
311570956,1,
311602675,5,
311621130,1,
311622484,6,
311676910,8,
311798045,5,
311799456,4,
311867618,1,
311934251,1,
311962443,3,
311974661,3,
312101019,3,
312127475,45,
312127483,1,
312139215,1,
312147853,2,
312272727,9,
312328362,2,
312346810,1,
312368269,14,
312424351,1,
312454440,1,
312455298,2,
312456114,2,
312478670,1,
312537582,1,
312574346,1,
312696438,4,
312707029,2,
312708415,5,
312730906,1,
312786338,1,
312856982,8,
312990021,40,
313106536,3,
313139776,2,
313241986,2,
313309452,2,
313334856,1,
313414062,1,
313414849,9,
313484883,3,
313525636,1,
313609927,3,
313642548,1,
313777997,4,
313886285,2,
313915753,1,
313932451,3,
313955288,55,
313997223,2,
314046202,5,
314046772,4,
314104167,8,
314153446,2,
314196197,2,
314208125,2,
314211335,4,
314222902,1,
314282807,2,
314283896,4,
314306036,4,
314428186,28,
314438326,1,
314515691,1,
314600096,2,
314603051,2,
314720384,1,
314752247,1,
314765728,6,
314788803,2,
314871815,4,
314901984,1,
314925744,1,
314926841,1,
314973892,1,
314976671,1,
314977851,4,
314990185,1,
315028126,1,
315080572,2,
315255778,2,
315311530,36,
315361881,11,
315384461,3,
315448027,4,
315474239,1,
315516872,3,
315605535,1,
315651448,31,
315704643,40,
315711028,1,
315845438,2,
315871442,2,
315985309,5,
315999144,1,
316016930,6,
316137959,2,
316138635,96,
316141019,7,
316141993,24,
316252477,3,
316278548,2,
316329275,7,
316358571,2,
316418292,2,
316432962,1,
316472497,1,
316472646,1,
316535046,1,
316591353,4,
316591783,1,
316614536,2,
316631928,1,
316673987,3,
316693472,1,
316696996,65,
316697176,4,
316701408,2,
316741875,1,
316806223,11,
316806413,1,
316844976,7,
316969385,3,
316969401,1,
316969450,3,
317037703,2,
317169134,6,
317216950,4,
317237147,2,
317269975,2,
317326726,8,
317328227,3,
317401016,1,
317516334,2,
317586808,1,
317600023,4,
317626885,4,
317663722,4,
317665420,82,
317681948,51,
317686061,1,
317708261,2,
317735561,1,
317802338,4,
317804094,2,
317839868,17,
317865426,65,
317991917,2,
318083110,3,
318210614,5,
318246899,3,
318335213,1,
318355195,1,
318379245,8,
318445913,1,
318456019,19,
318488756,4,
318516457,9,
318570587,1,
318648847,8,
318733367,1,
318734571,1,
318745106,1,
318760030,1,
318826187,1,
318867231,3,
318867827,2,
318893435,1,
318896289,2,
318975083,3,
319025029,1,
319027421,1,
319119665,1,
319393427,5,
319404067,30,
319405684,13,
319410700,1,
319448767,1,
319467429,2,
319536223,4,
319588547,30,
319608352,1,
319679825,1,
319984951,1,
319997201,1,
320050859,5,
320053010,8,
320089394,6,
320091119,9,
320100066,2,
320116916,5,
320140528,5,
320153299,1,
320217441,1,
320237324,2,
320253461,16,
320261779,5,
320281447,5,
320289754,2,
320318074,2,
320400781,6,
320442320,5,
320443393,2,
320448160,4,
320509532,3,
320564321,1,
320651631,4,
320749997,1,
320752124,3,
320850902,5,
320880586,2,
320880925,1,
320922461,2,
320942170,3,
320955396,1,
320979016,16,
321009839,1,
321017378,4,
321028979,1,
321071938,20,
321101933,4,
321130346,7,
321155954,1,
321166035,1,
321188658,1,
321200982,7,
321225203,36,
321227852,3,
321236788,6,
321255069,3,
321326555,1,
321420887,3,
321470189,2,
321501611,2,
321560617,1,
321640526,3,
321692618,1,
321733784,8,
321774713,2,
321933780,7,
321956617,4,
321970782,8,
322097841,8,
322106808,10,
322134107,2,
322163320,2,
322188293,4,
322202599,1,
322213679,1,
322224056,9,
322306440,1,
322323783,1,
322325259,7,
322333840,3,
322378670,5,
322417452,3,
322471301,1,
322522368,1,
322548801,2,
322670928,8,
322671009,1,
322707092,2,
322894163,2,
323016899,1,
323025718,2,
323048751,1,
323076190,1,
323078006,5,
323100693,1,
323117663,3,
323253583,1,
323266973,2,
323288563,2,
323438515,2,
323457671,2,
323539148,3,
323540989,1,
323611061,4,
323613604,1,
323703769,15,
323704197,1,
323783076,1,
323825984,2,
323856138,1,
323945741,2,
323970160,1,
323982959,2,
324008044,2,
324075738,4,
324079326,1,
324084730,2,
324251271,3,
324283647,1,
324510742,2,
324534973,24,
324559111,4,
324603133,7,
324643097,10,
324667674,1,
324684190,7,
324729631,1,
324745405,1,
324754597,4,
324801497,10,
324860501,1,
324873751,2,
324896257,17,
324950617,1,
325020733,3,
325037653,20,
325039519,6,
325059194,1,
325069276,1,
325158038,2,
325192722,3,
325192870,4,
325215085,7,
325222529,1,
325242360,2,
325258804,2,
325259992,1,
325323020,1,
325323665,3,
325501294,24,
325507986,1,
325578995,4,
325616308,2,
325620219,1,
325672285,3,
325684975,10,
325696359,1,
325751568,1,
325780229,3,
325844900,3,
325857563,2,
325880177,1,
325907616,4,
325909034,1,
325909612,1,
325952224,1,
326028156,7,
326036373,1,
326042181,1,
326055258,9,
326116076,3,
326117124,2,
326125713,4,
326144490,2,
326157773,2,
326216181,2,
326220035,3,
326220654,20,
326261146,2,
326418274,3,
326418498,4,
326432952,2,
326506029,1,
326518511,2,
326564689,1,
326566148,1,
326577574,2,
326591948,1,
326604840,8,
326614682,1,
326677457,2,
326685252,4,
326780541,2,
326784568,5,
326784576,2,
326912870,16,
326930484,10,
326941556,9,
326945102,3,
326966140,2,
326967239,1,
327061099,1,
327164588,3,
327232617,4,
327338562,3,
327359980,1,
327409249,2,
327448825,3,
327479366,2,
327557898,2,
327580908,2,
327595096,8,
327612552,2,
327619979,4,
327630356,2,
327643979,2,
327767091,1,
327886867,1,
327909701,1,
327923074,3,
327926382,1,
327954210,2,
327969150,4,
327975017,3,
328006481,1,
328051271,9,
328063227,1,
328076922,2,
328083621,4,
328253992,5,
328297841,1,
328358734,1,
328385596,2,
328448766,1,
328469101,2,
328476791,1,
328478813,1,
328498472,1,
328543814,3,
328559109,4,
328578760,3,
328582713,5,
328619721,5,
328648712,1,
328730759,39,
328741392,2,
328751276,1,
328781786,1,
328788419,11,
328815774,1,
328823927,6,
328833546,3,
328898077,5,
328900600,4,
328971106,2,
328971809,1,
328997556,4,
329010201,2,
329021497,1,
329021604,16,
329035422,2,
329073282,2,
329106348,2,
329121701,5,
329140149,2,
329140545,5,
329143507,15,
329208946,2,
329252373,1,
329252480,1,
329263933,3,
329274989,4,
329276323,1,
329303457,11,
329310395,1,
329358774,7,
329368526,35,
329393797,1,
329484547,3,
329514624,2,
329532576,9,
329541411,1,
329593487,4,
329594451,1,
329670111,3,
329744593,2,
329744874,1,
