numero_de_dossier,type_de_dossier,etat_du_dossier,accord_signe,date_de_jugement,date_d_enregistrement,situation_juridique,siret,nombre_de_ruptures_de_contrats_en_debut_de_procedure,nombre_de_ruptures_de_contrats_en_fin_de_procedure
17355,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,29/03/2016,Liquidation sans poursuite d activite (L.641-4),39922624000022,77,77
385,"PSE : plan de sauvegarde de l'emploi",cloture,,,25/11/2013,In bonis,33913497500012,16,16
5623,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,19/01/2016,In bonis,77856436900024,47,41
20873,"PSE : plan de sauvegarde de l'emploi",en_cours_procedure,Oui,,03/08/2017,In bonis,34116580100018,,24
19465,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,16/03/2017,Plan de RJ avec cession  (L.642-5),42074704000012,10,10
25015,"PSE : plan de sauvegarde de l'emploi",instruit,Non,,28/02/2019,In bonis,78705010300052,11,11
21391,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,04/12/2017,In bonis,31112727800530,13,12
21391,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,04/12/2017,In bonis,31112727800399,0,0
471,"PSE : plan de sauvegarde de l'emploi",BilanTermine,,,19/12/2013,In bonis,40285022600018,23,
21645,"PSE : plan de sauvegarde de l'emploi",BilanEnAttente,Non,,29/01/2018,In bonis,78439334002091,71,71
2228,"PSE : plan de sauvegarde de l'emploi",cloture,Non,,21/01/2015,Plan de cession en LJ (L.642-5),40009041100010,20,20
19520,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Oui,,23/03/2017,In bonis,34305956400793,0,0
19520,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Oui,,23/03/2017,In bonis,34305956400371,8,8
19520,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Oui,,23/03/2017,In bonis,34305956400397,84,84
19520,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Oui,,23/03/2017,In bonis,34305956400405,12,12
19520,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Oui,,23/03/2017,In bonis,34305956400082,2,2
19520,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Oui,,23/03/2017,In bonis,34305956400124,27,27
19520,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Oui,,23/03/2017,In bonis,34305956400157,0,0
19520,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Oui,,23/03/2017,In bonis,34305956400215,3,3
19520,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Oui,,23/03/2017,In bonis,34305956400223,56,56
19520,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Oui,,23/03/2017,In bonis,34305956400231,0,0
19520,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Oui,,23/03/2017,In bonis,34305956400298,15,15
19520,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Oui,,23/03/2017,In bonis,34305956400314,72,72
19520,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Oui,,23/03/2017,In bonis,34305956400348,198,198
19520,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Oui,,23/03/2017,In bonis,34305956400413,19,19
19520,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Oui,,23/03/2017,In bonis,34305956400462,19,19
19520,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Oui,,23/03/2017,In bonis,34305956400496,7,7
19520,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Oui,,23/03/2017,In bonis,34305956400504,4,4
19520,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Oui,,23/03/2017,In bonis,34305956400512,10,10
19520,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Oui,,23/03/2017,In bonis,34305956400520,0,0
19520,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Oui,,23/03/2017,In bonis,34305956400777,1293,1293
19520,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Oui,,23/03/2017,In bonis,34305956400785,52,52
19520,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Oui,,23/03/2017,In bonis,34305956400819,3,3
19520,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Oui,,23/03/2017,In bonis,34305956400827,0,0
19520,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Oui,,23/03/2017,In bonis,34305956400835,0,0
19520,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Oui,,23/03/2017,In bonis,34305956400843,71,71
19520,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Oui,,23/03/2017,In bonis,34305956400850,0,0
19520,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Oui,,23/03/2017,In bonis,34305956400595,10,10
19520,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Oui,,23/03/2017,In bonis,34305956400264,1,1
19520,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Oui,,23/03/2017,In bonis,34305956400553,8,8
22136,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,03/04/2018,Liquidation sans poursuite d activite (L.641-4),31036020100027,16,16
22136,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,03/04/2018,Liquidation sans poursuite d activite (L.641-4),31036020100126,88,88
22136,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,03/04/2018,Liquidation sans poursuite d activite (L.641-4),31036020100035,12,12
17541,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,02/05/2016,In bonis,30524308100034,125,123
19600,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,03/04/2017,Plan de RJ avec cession  (L.642-5),51880974400015,30,28
548,"PSE : plan de sauvegarde de l'emploi",BilanTermine,,,24/01/2014,In bonis,39927206100041,4,4
548,"PSE : plan de sauvegarde de l'emploi",BilanTermine,,,24/01/2014,In bonis,39927206100108,2,2
548,"PSE : plan de sauvegarde de l'emploi",BilanTermine,,,24/01/2014,In bonis,39927206100017,16,16
548,"PSE : plan de sauvegarde de l'emploi",BilanTermine,,,24/01/2014,In bonis,39927206100116,1,1
20456,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,09/06/2017,Periode de maintien provisoire de l activite (LJ) (L.631-17),49881763400021,53,30
18961,"PSE : plan de sauvegarde de l'emploi",instruit,Oui,,05/01/2017,In bonis,38172872400067,43,44
22270,"PSE : plan de sauvegarde de l'emploi",instruit,Non,,17/04/2018,In bonis,55200326100161,94,94
22270,"PSE : plan de sauvegarde de l'emploi",instruit,Non,,17/04/2018,In bonis,55200326100781,2,2
